交易 #,类型,日期和时间,信号,价格 USDT,仓位大小（数量）,仓位大小（价值）,净损益 USDT,净损益 %,有利波动 USDT,有利波动 %,不利波动 USDT,不利波动 %,累计P&L USDT,累计P&L %
1,多头出场,2022-01-17 08:00,趋出,3346.89,4482.7905,14999954.95,3451.75,0.02,72352.24,0.48,-160035.62,-1.07,3451.75,0.01
1,多头进场,2022-01-17 02:00,趋进,3346.12,4482.7905,14999954.95,3451.75,0.02,72352.24,0.48,-160035.62,-1.07,3451.75,0.01
2,多头出场,2022-02-03 04:00,趋出,2707.26,5612.9059,15000491.02,195104.61,1.30,788613.25,5.26,-193645.25,-1.29,198556.36,0.66
2,多头进场,2022-02-01 04:00,趋进,2672.5,5612.9059,15000491.02,195104.61,1.30,788613.25,5.26,-193645.25,-1.29,198556.36,0.66
3,多头出场,2022-02-07 04:00,趋出,3001.4,5627.7802,15099278,1791941.5,11.87,2124374.5,14.07,-42264.63,-0.28,1990497.9,6.63
3,多头进场,2022-02-04 12:00,趋进,2682.99,5627.7802,15099278,1791941.5,11.87,2124374.5,14.07,-42264.63,-0.28,1990497.9,6.63
4,多头出场,2022-02-09 00:00,趋出,3076.18,5085.7033,15995299.73,-350760.97,-2.19,446117.9,2.79,-589687.3,-3.69,1639736.9,5.47
4,多头进场,2022-02-08 02:00,趋进,3145.15,5085.7033,15995299.73,-350760.97,-2.19,446117.9,2.79,-589687.3,-3.69,1639736.9,5.47
5,多头出场,2022-02-10 16:00,趋出,3189.9,4977.2274,15819818.66,57039.03,0.36,454221.78,2.87,-109449.23,-0.69,1696775.9,5.66
5,多头进场,2022-02-10 00:00,趋进,3178.44,4977.2274,15819818.66,57039.03,0.36,454221.78,2.87,-109449.23,-0.69,1696775.9,5.66
6,多头出场,2022-02-11 04:00,趋出,3121.08,5070.3808,15848438.56,-23374.45,-0.15,705594.2,4.45,-203778.61,-1.29,1673401.5,5.58
6,多头进场,2022-02-10 22:00,趋进,3125.69,5070.3808,15848438.56,-23374.45,-0.15,705594.2,4.45,-203778.61,-1.29,1673401.5,5.58
7,多头出场,2022-03-03 16:00,趋出,2908.02,5610.897,15836700.67,479900.03,3.03,1242364.9,7.84,-182241.94,-1.15,2153301.5,7.18
7,多头进场,2022-03-01 02:00,趋进,2822.49,5610.897,15836700.67,479900.03,3.03,1242364.9,7.84,-182241.94,-1.15,2153301.5,7.18
8,多头出场,2022-03-20 20:00,趋出,2886.49,5420.3138,16076704.93,-431023.34,-2.68,117566.61,0.73,-495416.7,-3.08,1722278.1,5.74
8,多头进场,2022-03-19 04:00,趋进,2966.01,5420.3138,16076704.93,-431023.34,-2.68,117566.61,0.73,-495416.7,-3.08,1722278.1,5.74
9,多头出场,2022-03-23 16:00,趋出,2948.95,5367.5597,15861138.91,-32473.74,-0.20,525215.7,3.31,-388450.28,-2.45,1689804.4,5.63
9,多头进场,2022-03-22 00:00,趋进,2955,5367.5597,15861138.91,-32473.74,-0.20,525215.7,3.31,-388450.28,-2.45,1689804.4,5.63
10,多头出场,2022-03-26 12:00,趋出,3108.44,5234.7827,15844902.02,427105.9,2.70,871224.9,5.50,-145212.88,-0.92,2116910.2,7.06
10,多头进场,2022-03-24 10:00,趋进,3026.85,5234.7827,15844902.02,427105.9,2.70,871224.9,5.50,-145212.88,-0.92,2116910.2,7.06
11,多头出场,2022-03-30 16:00,趋出,3408.57,5049.8286,16058505.45,1154188.9,7.19,1524341.2,9.49,-75797.93,-0.47,3271099.2,10.90
11,多头进场,2022-03-28 02:00,趋进,3180.01,5049.8286,16058505.45,1154188.9,7.19,1524341.2,9.49,-75797.93,-0.47,3271099.2,10.90
12,多头出场,2022-04-04 20:00,趋出,3479.08,4794.5071,16635549.23,44924.53,0.27,530416.3,3.19,-276163.6,-1.66,3316023.8,11.05
12,多头进场,2022-04-02 02:00,趋进,3469.71,4794.5071,16635549.23,44924.53,0.27,530416.3,3.19,-276163.6,-1.66,3316023.8,11.05
13,多头出场,2022-04-06 10:00,趋止损,3344.29,4727.1254,16657964.47,-849086.25,-5.10,146966.33,0.88,-1209718.6,-7.26,2466937.5,8.22
13,多头进场,2022-04-05 12:00,趋进,3523.91,4727.1254,16657964.47,-849086.25,-5.10,146966.33,0.88,-1209718.6,-7.26,2466937.5,8.22
14,多头出场,2022-04-22 02:00,趋止损,3065.92,5144.4507,16233417.07,-460942.78,-2.84,5093.01,0.03,-485944.8,-2.99,2005994.6,6.69
14,多头进场,2022-04-21 22:00,趋进,3155.52,5144.4507,16233417.07,-460942.78,-2.84,5093.01,0.03,-485944.8,-2.99,2005994.6,6.69
15,多头出场,2022-06-27 12:00,趋出,1219.92,13023.3785,16002867.03,-115387.13,-0.72,275444.47,1.72,-445139.06,-2.78,1890607.5,6.30
15,多头进场,2022-06-26 22:00,趋进,1228.78,13023.3785,16002867.03,-115387.13,-0.72,275444.47,1.72,-445139.06,-2.78,1890607.5,6.30
16,多头出场,2022-06-29 08:00,趋止损,1144.05,13032.7457,15945303.71,-1035191,-6.49,189105.14,1.19,-1135934.1,-7.12,855416.5,2.85
16,多头进场,2022-06-28 20:00,趋进,1223.48,13032.7457,15945303.71,-1035191,-6.49,189105.14,1.19,-1135934.1,-7.12,855416.5,2.85
17,多头出场,2022-07-09 16:00,趋出,1225.01,13001.9368,15427708.15,499794.44,3.24,1168744.1,7.58,-304115.3,-1.97,1355211,4.52
17,多头进场,2022-07-07 08:00,趋进,1186.57,13001.9368,15427708.15,499794.44,3.24,1168744.1,7.58,-304115.3,-1.97,1355211,4.52
18,多头出场,2022-07-20 20:00,趋出,1602.9,11732.7147,15677605.36,3128763,19.96,3458452.2,22.06,-253778.62,-1.62,4483974,14.95
18,多头进场,2022-07-17 04:00,趋进,1336.23,11732.7147,15677605.36,3128763,19.96,3458452.2,22.06,-253778.62,-1.62,4483974,14.95
19,多头出场,2022-07-25 16:00,趋出,1522.12,10944.1664,17241986.95,-583652.4,-3.39,972826.94,5.64,-957067.4,-5.55,3900321.5,13.00
19,多头进场,2022-07-22 08:00,趋进,1575.45,10944.1664,17241986.95,-583652.4,-3.39,972826.94,5.64,-957067.4,-5.55,3900321.5,13.00
20,多头出场,2022-08-03 10:00,趋止损,1612.3,10353.5194,16950160.75,-257181.42,-1.52,247449.11,1.46,-491067.44,-2.90,3643140.2,12.14
20,多头进场,2022-08-03 04:00,趋进,1637.14,10353.5194,16950160.75,-257181.42,-1.52,247449.11,1.46,-491067.44,-2.90,3643140.2,12.14
21,多头出场,2022-08-07 20:00,趋出,1692.59,10135.1855,16821671.43,333042.2,1.98,914193.75,5.43,-77027.41,-0.46,3976182.2,13.25
21,多头进场,2022-08-05 14:00,趋进,1659.73,10135.1855,16821671.43,333042.2,1.98,914193.75,5.43,-77027.41,-0.46,3976182.2,13.25
22,多头出场,2022-08-10 00:00,趋出,1684.64,9991.878,16988190.98,-155473.62,-0.92,1177043.2,6.93,-322437.9,-1.90,3820708.8,12.74
22,多头进场,2022-08-08 08:00,趋进,1700.2,9991.878,16988190.98,-155473.62,-0.92,1177043.2,6.93,-322437.9,-1.90,3820708.8,12.74
23,多头出场,2022-08-15 00:00,趋出,1984.18,9202.9139,16910262.26,1349975.5,7.98,1771653,10.48,-307469.34,-1.82,5170684,17.24
23,多头进场,2022-08-11 00:00,趋进,1837.49,9202.9139,16910262.26,1349975.5,7.98,1771653,10.48,-307469.34,-1.82,5170684,17.24
24,多头出场,2022-08-31 16:00,趋止损,1584.82,10955.8485,17585341.99,-222294.17,-1.26,118104.05,0.67,-308845.38,-1.76,4948390,16.49
24,多头进场,2022-08-31 14:00,趋进,1605.11,10955.8485,17585341.99,-222294.17,-1.26,118104.05,0.67,-308845.38,-1.76,4948390,16.49
25,多头出场,2022-09-03 04:00,趋止损,1561.47,11061.6473,17474305.47,-201875.06,-1.16,777412.56,4.45,-368463.47,-2.11,4746515,15.82
25,多头进场,2022-09-02 10:00,趋进,1579.72,11061.6473,17474305.47,-201875.06,-1.16,777412.56,4.45,-368463.47,-2.11,4746515,15.82
26,多头出场,2022-09-12 16:00,趋出,1758.61,10658.4401,17373257.36,1370782,7.89,1694692,9.75,-372405.9,-2.14,6117297,20.39
26,多头进场,2022-09-08 08:00,趋进,1630,10658.4401,17373257.36,1370782,7.89,1694692,9.75,-372405.9,-2.14,6117297,20.39
27,多头出场,2022-10-07 16:00,趋出,1356.04,13156.91,18058516.82,-217220.58,-1.20,120254.16,0.67,-362341.3,-2.01,5900076.5,19.67
27,多头进场,2022-10-06 12:00,趋进,1372.55,13156.91,18058516.82,-217220.58,-1.20,120254.16,0.67,-362341.3,-2.01,5900076.5,19.67
