交易 #,类型,日期和时间,信号,价格 USDT,仓位大小（数量）,仓位大小（价值）,净损益 USDT,净损益 %,有利波动 USDT,有利波动 %,不利波动 USDT,不利波动 %,累计P&L USDT,累计P&L %
1,多头出场,2024-02-06 06:00,趋止损,2289.21,12927.7468,29999999.95,-405672.7,-1.35,234897.16,0.78,-484402.7,-1.61,-405672.7,-1.35
1,多头进场,2024-02-05 18:00,趋进,2320.59,12927.7468,29999999.95,-405672.7,-1.35,234897.16,0.78,-484402.7,-1.61,-405672.7,-1.35
2,多头出场,2024-02-11 08:00,趋出,2500.25,12963.7231,30000129.45,2412419.2,8.04,2759069.2,9.20,-66374.27,-0.22,2006746.5,6.69
2,多头进场,2024-02-06 14:00,趋进,2314.16,12963.7231,30000129.45,2412419.2,8.04,2759069.2,9.20,-66374.27,-0.22,2006746.5,6.69
3,多头出场,2024-02-12 04:00,趋出,2508.02,11888.062,29999999.98,-184502.72,-0.62,112461.07,0.37,-322404.25,-1.07,1822243.9,6.07
3,多头进场,2024-02-11 18:00,趋进,2523.54,11888.062,29999999.98,-184502.72,-0.62,112461.07,0.37,-322404.25,-1.07,1822243.9,6.07
4,多头出场,2024-02-17 00:00,趋出,2776.46,11483.5173,30000114.77,1883411.6,6.28,2944488.8,9.81,-291336.84,-0.97,3705655.5,12.35
4,多头进场,2024-02-13 04:00,趋进,2612.45,11483.5173,30000114.77,1883411.6,6.28,2944488.8,9.81,-291336.84,-0.97,3705655.5,12.35
5,多头出场,2024-02-22 00:00,趋出,2915.29,10711.5695,29998714.43,1228617,4.10,2516897.5,8.39,-165815.1,-0.55,4934272.5,16.45
5,多头进场,2024-02-18 16:00,趋进,2800.59,10711.5695,29998714.43,1228617,4.10,2516897.5,8.39,-165815.1,-0.55,4934272.5,16.45
6,多头出场,2024-03-01 12:00,趋出,3369.81,9920.6677,29999999.92,3430765.2,11.44,5119163.5,17.06,-1174408.6,-3.91,8365038,27.88
