交易编号,类型,日期和时间,信号,价格 CNY,大小（数量）,大小（价值）,净损益 CNY,净损益 %,有利波动 CNY,有利波动 %,不利波动 CNY,不利波动 %,累计损益 CNY,累计损益 %
1,多头出场,2012-06-04 13:30,离场信号,5.22,367647,1999999.68,-82449.98,-4.12,131552.92,6.58,-103741.16,-5.18,-82449.98,-4.12
1,多头进场,2012-04-26 11:30,进场,5.44,367647,1999999.68,-82449.98,-4.12,131552.92,6.58,-103741.16,-5.18,-82449.98,-4.12
2,多头出场,2012-07-10 13:30,离场信号,5.39,379506,1999996.62,43922.51,2.20,238288.78,11.91,-23570.36,-1.18,-38527.48,-1.93
2,多头进场,2012-06-07 11:30,进场,5.27,379506,1999996.62,43922.51,2.20,238288.78,11.91,-23570.36,-1.18,-38527.48,-1.93
3,多头出场,2012-08-24 13:30,离场信号,4.58,418410,1999999.8,-85248.52,-4.26,137275.3,6.86,-147243.5,-7.36,-123776.01,-6.19
3,多头进场,2012-07-19 11:30,进场,4.78,418410,1999999.8,-85248.52,-4.26,137275.3,6.86,-147243.5,-7.36,-123776.01,-6.19
4,多头出场,2012-09-18 13:30,离场信号,4.5,442477,1999996.04,-10446,-0.52,167341.27,8.36,-45047.7,-2.25,-134222,-6.71
4,多头进场,2012-08-29 13:30,进场,4.52,442477,1999996.04,-10446,-0.52,167341.27,8.36,-45047.7,-2.25,-134222,-6.71
5,多头出场,2012-10-17 13:30,离场信号,4.29,466200,1999998,-1600,-0.08,325540,16.27,-38096,-1.90,-135822,-6.79
5,多头进场,2012-09-27 13:30,进场,4.29,466200,1999998,-1600,-0.08,325540,16.27,-38096,-1.90,-135822,-6.79
6,多头出场,2012-10-26 13:30,离场信号,4.19,459770,1999999.5,-75133.77,-3.76,17590.8,0.88,-78960.9,-3.95,-210955.78,-10.55
6,多头进场,2012-10-19 11:30,进场,4.35,459770,1999999.5,-75133.77,-3.76,17590.8,0.88,-78960.9,-3.95,-210955.78,-10.55
7,多头出场,2012-11-13 13:30,离场信号,4.15,473933,1999997.26,-34762.04,-1.74,75029.28,3.75,-33975.31,-1.70,-245717.81,-12.29
7,多头进场,2012-10-31 09:30,进场,4.22,473933,1999997.26,-34762.04,-1.74,75029.28,3.75,-33975.31,-1.70,-245717.81,-12.29
8,多头出场,2012-11-27 13:30,离场信号,3.91,475059,1999998.39,-144060.69,-7.20,37204.72,1.86,-143317.7,-7.16,-389778.5,-19.49
8,多头进场,2012-11-15 11:30,进场,4.21,475059,1999998.39,-144060.69,-7.20,37204.72,1.86,-143317.7,-7.16,-389778.5,-19.49
9,多头出场,2013-01-21 13:30,离场信号,4.97,552486,1999999.32,743957.75,37.18,910801.9,45.52,-33949.16,-1.70,354179.25,17.71
9,多头进场,2012-12-05 11:30,进场,3.62,552486,1999999.32,743957.75,37.18,910801.9,45.52,-33949.16,-1.70,354179.25,17.71
10,多头出场,2013-02-27 13:30,离场信号,4.68,424628,1999997.88,-14333.74,-0.72,160558.64,8.02,-162158.64,-8.10,339845.5,16.99
10,多头进场,2013-01-28 13:30,进场,4.71,424628,1999997.88,-14333.74,-0.72,160558.64,8.02,-162158.64,-8.10,339845.5,16.99
