交易 #,类型,日期和时间,信号,价格 USDT,仓位大小（数量）,仓位大小（价值）,净损益 USDT,净损益 %,有利波动 USDT,有利波动 %,不利波动 USDT,不利波动 %,累计P&L USDT,累计P&L %
1,多头出场,2024-02-06 06:00,趋止损,2287.79,6464.4305,14999935.24,-210675.8,-1.40,113903.27,0.76,-248104.84,-1.65,-210675.8,-0.70
1,多头进场,2024-02-05 18:00,趋进,2320.38,6464.4305,14999935.24,-210675.8,-1.40,113903.27,0.76,-248104.84,-1.65,-210675.8,-0.70
2,多头出场,2024-02-11 08:00,趋出,2499.2,6439.2364,14894597.72,1198341.9,8.05,1388041.8,9.32,-31809.83,-0.21,987666.1,3.29
2,多头进场,2024-02-06 14:00,趋进,2313.1,6439.2364,14894597.72,1198341.9,8.05,1388041.8,9.32,-31809.83,-0.21,987666.1,3.29
3,多头出场,2024-02-12 04:00,趋出,2506.67,6142.399,15493832.93,-96865.63,-0.63,54790.2,0.35,-168056.03,-1.08,890800.5,2.97
3,多头进场,2024-02-11 18:00,趋进,2522.44,6142.399,15493832.93,-96865.63,-0.63,54790.2,0.35,-168056.03,-1.08,890800.5,2.97
4,多头出场,2024-02-17 00:00,趋出,2777.44,5915.7153,15445400.23,985144.06,6.38,1538500.1,9.96,-149135.19,-0.97,1875944.5,6.25
4,多头进场,2024-02-13 04:00,趋进,2610.91,5915.7153,15445400.23,985144.06,6.38,1538500.1,9.96,-149135.19,-0.97,1875944.5,6.25
5,多头出场,2024-02-22 00:00,趋出,2915.61,5687.4814,15937915.38,644562.25,4.04,1333998.8,8.37,-90260.33,-0.57,2520506.8,8.40
5,多头进场,2024-02-18 16:00,趋进,2802.28,5687.4814,15937915.38,644562.25,4.04,1333998.8,8.37,-90260.33,-0.57,2520506.8,8.40
6,多头出场,2024-03-01 12:00,趋出,3371.36,5373.4429,16260306.89,1855503.6,11.41,2713320,16.69,-641750.3,-3.95,4376010.5,14.59
6,多头进场,2024-02-22 18:00,趋进,3026.05,5373.4429,16260306.89,1855503.6,11.41,2713320,16.69,-641750.3,-3.95,4376010.5,14.59
7,多头出场,2024-03-06 08:00,趋出,3555.43,4956.1293,17188054.66,433116.12,2.52,1783661.4,10.38,-1303660.2,-7.58,4809126.5,16.03
7,多头进场,2024-03-04 04:00,趋进,3468.04,4956.1293,17188054.66,433116.12,2.52,1783661.4,10.38,-1303660.2,-7.58,4809126.5,16.03
8,多头出场,2024-03-09 12:00,趋出,3926.3,4583.9239,17404517.3,593343.1,3.41,946442.75,5.44,-329400.78,-1.89,5402469.5,18.01
8,多头进场,2024-03-06 18:00,趋进,3796.86,4583.9239,17404517.3,593343.1,3.41,946442.75,5.44,-329400.78,-1.89,5402469.5,18.01
9,多头出场,2024-03-13 04:00,趋出,3984.96,4375.3855,17701190.84,-265454.62,-1.50,231939.19,1.31,-934932.4,-5.28,5137015,17.12
9,多头进场,2024-03-11 18:00,趋进,4045.63,4375.3855,17701190.84,-265454.62,-1.50,231939.19,1.31,-934932.4,-5.28,5137015,17.12
10,多头出场,2024-03-15 04:00,趋止损,3789.87,4333.9009,17568507.43,-1143586.4,-6.51,18462.42,0.11,-1424596.6,-8.11,3993428.5,13.31
10,多头进场,2024-03-13 20:00,趋进,4053.74,4333.9009,17568507.43,-1143586.4,-6.51,18462.42,0.11,-1424596.6,-8.11,3993428.5,13.31
11,多头出场,2024-03-30 00:00,趋止损,3490.25,4743.3794,16996666.8,-441086.84,-2.60,154586.73,0.91,-484915.7,-2.85,3552341.8,11.84
11,多头进场,2024-03-28 20:00,趋进,3583.24,4743.3794,16996666.8,-441086.84,-2.60,154586.73,0.91,-484915.7,-2.85,3552341.8,11.84
12,多头出场,2024-04-02 00:00,趋止损,3446.03,4729.9988,16776170.54,-476452.78,-2.84,540733.44,3.22,-510272.28,-3.04,3075889,10.25
12,多头进场,2024-03-30 22:00,趋进,3546.76,4729.9988,16776170.54,-476452.78,-2.84,540733.44,3.22,-510272.28,-3.04,3075889,10.25
13,多头出场,2024-04-12 22:00,趋止损,3465.42,4638.1939,16537990.55,-464700.66,-2.81,260341.83,1.57,-526945.2,-3.19,2611188.2,8.70
13,多头进场,2024-04-11 14:00,趋进,3565.61,4638.1939,16537990.55,-464700.66,-2.81,260341.83,1.57,-526945.2,-3.19,2611188.2,8.70
