交易 #,类型,日期和时间,信号,价格 USD,仓位大小（数量）,仓位大小（价值）,净损益 USD,净损益 %,有利波动 USD,有利波动 %,不利波动 USD,不利波动 %,累计P&L USD,累计P&L %
1,多头出场,2024-01-09 17:00,long close,16719.75,121,3994331,51848.5,1.30,74052,1.85,-41442.5,-1.04,51848.5,2.59
1,多头进场,2024-01-05 03:00,long 1,16505.5,121,3994331,51848.5,1.30,74052,1.85,-41442.5,-1.04,51848.5,2.59
2,多头出场,2024-02-02 05:00,long close,17440,118,4096252,19588,0.48,29913,0.73,-31919,-0.78,71436.5,3.57
2,多头进场,2024-01-31 19:00,long 1,17357,118,4096252,19588,0.48,29913,0.73,-31919,-0.78,71436.5,3.57
3,多头出场,2024-02-02 05:00,long close,17440,117,4033867.5,47092.5,1.17,50251.5,1.25,-3978,-0.10,118529,5.93
3,多头进场,2024-02-01 05:00,long 2,17238.75,117,4033867.5,47092.5,1.17,50251.5,1.25,-3978,-0.10,118529,5.93
4,多头出场,2024-02-15 21:00,long close,17873.75,119,4206471.5,47481,1.13,61820.5,1.47,-30464,-0.72,166010,8.30
4,多头进场,2024-02-13 23:00,long 1,17674.25,119,4206471.5,47481,1.13,61820.5,1.47,-30464,-0.72,166010,8.30
5,多头出场,2024-02-23 23:00,long close,18035,123,4306476,130134,3.02,157194,3.65,-32718,-0.76,296144,14.81
5,多头进场,2024-02-21 01:00,long 1,17506,123,4306476,130134,3.02,157194,3.65,-32718,-0.76,296144,14.81
6,多头出场,2024-03-07 03:00,long close,18021.5,127,4556442.5,21018.5,0.46,59817,1.31,-26987.5,-0.59,317162.5,15.86
6,多头进场,2024-03-06 01:00,long 1,17938.75,127,4556442.5,21018.5,0.46,59817,1.31,-26987.5,-0.59,317162.5,15.86
7,多头出场,2024-04-04 02:00,long close,18321,126,4600323,16569,0.36,49581,1.08,-13671,-0.30,333731.5,16.69
7,多头进场,2024-04-02 22:00,long 1,18255.25,126,4600323,16569,0.36,49581,1.08,-13671,-0.30,333731.5,16.69
8,多头出场,2024-04-06 00:00,long close,18356.75,129,4663479,72562.5,1.56,74949,1.61,-8256,-0.18,406294,20.31
8,多头进场,2024-04-05 04:00,long 1,18075.5,129,4663479,72562.5,1.56,74949,1.61,-8256,-0.18,406294,20.31
9,多头出场,2024-04-06 00:00,long close,18356.75,129,4662382.5,73659,1.58,76045.5,1.63,-7159.5,-0.15,479953,24.00
9,多头进场,2024-04-05 10:00,long 2,18071.25,129,4662382.5,73659,1.58,76045.5,1.63,-7159.5,-0.15,479953,24.00
10,多头出场,2024-04-23 02:00,long close,17397,138,4946817,-145245,-2.94,17871,0.36,-223422,-4.52,334708,16.74
10,多头进场,2024-04-16 02:00,long 1,17923.25,138,4946817,-145245,-2.94,17871,0.36,-223422,-4.52,334708,16.74
11,多头出场,2024-04-23 02:00,long close,17397,137,4862746.5,-95968.5,-1.97,13494.5,0.28,-173579,-3.57,238739.5,11.94
11,多头进场,2024-04-18 00:00,long 2,17747.25,137,4862746.5,-95968.5,-1.97,13494.5,0.28,-173579,-3.57,238739.5,11.94
12,多头出场,2024-05-02 18:00,long close,17587.5,127,4461319.5,5905.5,0.13,57785,1.30,-41973.5,-0.94,244645,12.23
12,多头进场,2024-05-01 04:00,long 1,17564.25,127,4461319.5,5905.5,0.13,57785,1.30,-41973.5,-0.94,244645,12.23
13,多头出场,2024-05-02 18:00,long close,17587.5,126,4392864,39186,0.89,42336,0.96,-378,-0.01,283831,14.19
13,多头进场,2024-05-02 04:00,long 2,17432,126,4392864,39186,0.89,42336,0.96,-378,-0.01,283831,14.19
