交易 #,类型,日期和时间,信号,价格 USD,仓位大小（数量）,仓位大小（价值）,净损益 USD,净损益 %,有利波动 USD,有利波动 %,不利波动 USD,不利波动 %,累计P&L USD,累计P&L %
1,多头出场,2024-02-07 14:02,卖,2034.11,1678.4,3400018.8,14031.42,0.41,22070.96,0.65,-4749.87,-0.14,14031.42,0.70
1,多头进场,2024-02-06 02:02,买 ,2025.75,1678.4,3400018.8,14031.42,0.41,22070.96,0.65,-4749.87,-0.14,14031.42,0.70
2,多头出场,2024-02-12 11:02,卖,2022.4,1689.6,3423771.648,-6724.61,-0.20,439.3,0.01,-6961.15,-0.20,7306.82,0.37
2,多头进场,2024-02-12 09:02,买 ,2026.38,1689.6,3423771.648,-6724.61,-0.20,439.3,0.01,-6961.15,-0.20,7306.82,0.37
3,多头出场,2024-02-12 22:02,卖,2020.04,1686.3,3412413.543,-6020.09,-0.18,6644.02,0.19,-8448.36,-0.25,1286.72,0.06
3,多头进场,2024-02-12 14:02,买 ,2023.61,1686.3,3412413.543,-6020.09,-0.18,6644.02,0.19,-8448.36,-0.25,1286.72,0.06
4,多头出场,2024-02-13 22:02,卖,2003.1,1683.1,3402218.34,-30800.73,-0.91,18800.23,0.55,-32719.46,-0.96,-29514.01,-1.48
4,多头进场,2024-02-13 03:02,买 ,2021.4,1683.1,3402218.34,-30800.73,-0.91,18800.23,0.55,-32719.46,-0.96,-29514.01,-1.48
5,多头出场,2024-02-16 13:02,卖,2003.82,1680.9,3349663.902,18557.14,0.55,26053.95,0.78,-14321.27,-0.43,-10956.87,-0.55
5,多头进场,2024-02-14 14:02,买 ,1992.78,1680.9,3349663.902,18557.14,0.55,26053.95,0.78,-14321.27,-0.43,-10956.87,-0.55
6,多头出场,2024-02-16 21:02,卖,2006.94,1684.2,3381199.92,-1111.57,-0.03,976.84,0.03,-1953.67,-0.06,-12068.44,-0.60
6,多头进场,2024-02-16 20:02,买 ,2007.6,1684.2,3381199.92,-1111.57,-0.03,976.84,0.03,-1953.67,-0.06,-12068.44,-0.60
7,多头出场,2024-02-19 19:02,卖,2018.98,1678.6,3379424.664,9635.16,0.29,16349.56,0.48,-3575.42,-0.11,-2433.28,-0.12
7,多头进场,2024-02-17 02:02,买 ,2013.24,1678.6,3379424.664,9635.16,0.29,16349.56,0.48,-3575.42,-0.11,-2433.28,-0.12
8,多头出场,2024-04-23 10:02,卖,2298.77,1455.9,3395843.073,-49063.83,-1.44,2926.36,0.09,-53620.8,-1.58,-51497.1,-2.57
8,多头进场,2024-04-23 09:02,买 ,2332.47,1455.9,3395843.073,-49063.83,-1.44,2926.36,0.09,-53620.8,-1.58,-51497.1,-2.57
9,多头出场,2024-04-24 19:02,卖,2316.19,1438.8,3312434.136,20100.04,0.61,43048.9,1.30,-3467.51,-0.10,-31397.07,-1.57
9,多头进场,2024-04-23 19:02,买 ,2302.22,1438.8,3312434.136,20100.04,0.61,43048.9,1.30,-3467.51,-0.10,-31397.07,-1.57
10,多头出场,2024-04-25 06:02,卖,2316.05,1433.2,3346464.672,-27101.81,-0.81,3411.02,0.10,-30469.83,-0.91,-58498.88,-2.92
10,多头进场,2024-04-24 23:02,买 ,2334.96,1433.2,3346464.672,-27101.81,-0.81,3411.02,0.10,-30469.83,-0.91,-58498.88,-2.92
11,多头出场,2024-04-26 23:02,卖,2334.03,1421.1,3300334.218,16555.81,0.50,42959.85,1.30,-13457.82,-0.41,-41943.07,-2.10
11,多头进场,2024-04-25 15:02,买 ,2322.38,1421.1,3300334.218,16555.81,0.50,42959.85,1.30,-13457.82,-0.41,-41943.07,-2.10
12,多头出场,2024-04-30 06:02,卖,2335.27,1423.6,3328618.812,-4128.44,-0.12,12228.72,0.37,-17837.71,-0.54,-46071.51,-2.30
12,多头进场,2024-04-29 17:02,买 ,2338.17,1423.6,3328618.812,-4128.44,-0.12,12228.72,0.37,-17837.71,-0.54,-46071.51,-2.30
13,多头出场,2024-05-02 16:02,卖,2309.83,1452.4,3321217.604,33579.49,1.01,60448.89,1.82,-4618.63,-0.14,-12492.02,-0.62
13,多头进场,2024-05-01 14:02,买 ,2286.71,1452.4,3321217.604,33579.49,1.01,60448.89,1.82,-4618.63,-0.14,-12492.02,-0.62
14,多头出场,2024-05-03 11:02,卖,2301.63,1466.4,3378585.6,-3475.37,-0.10,3534.02,0.10,-5909.59,-0.17,-15967.39,-0.80
14,多头进场,2024-05-03 07:02,买 ,2304,1466.4,3378585.6,-3475.37,-0.10,3534.02,0.10,-5909.59,-0.17,-15967.39,-0.80
15,多头出场,2024-05-03 16:02,卖,2299.22,1464.5,3372860.66,-5652.97,-0.17,8362.3,0.25,-7732.56,-0.23,-21620.36,-1.08
15,多头进场,2024-05-03 12:02,买 ,2303.08,1464.5,3372860.66,-5652.97,-0.17,8362.3,0.25,-7732.56,-0.23,-21620.36,-1.08
16,多头出场,2024-05-07 08:02,卖,2326.08,1463.4,3363156.612,40828.86,1.21,49550.72,1.47,-9263.32,-0.28,19208.5,0.96
16,多头进场,2024-05-04 03:02,买 ,2298.18,1463.4,3363156.612,40828.86,1.21,49550.72,1.47,-9263.32,-0.28,19208.5,0.96
17,多头出场,2024-05-08 16:02,卖,2304.17,1481.4,3432492.684,-19095.25,-0.56,6547.79,0.19,-19747.06,-0.58,113.26,0.01
17,多头进场,2024-05-08 12:02,买 ,2317.06,1481.4,3432492.684,-19095.25,-0.56,6547.79,0.19,-19747.06,-0.58,113.26,0.01
18,多头出场,2024-05-08 22:02,卖,2309.62,1468.1,3400222.367,-9469.25,-0.28,4433.66,0.13,-13418.43,-0.39,-9355.99,-0.47
18,多头进场,2024-05-08 20:02,买 ,2316.07,1468.1,3400222.367,-9469.25,-0.28,4433.66,0.13,-13418.43,-0.39,-9355.99,-0.47
