2026-03-06 10:56:57 | DEBUG    | matplotlib:342 | matplotlib data path: C:\Users\A1\AppData\Roaming\Python\Python313\site-packages\matplotlib\mpl-data
2026-03-06 10:56:57 | DEBUG    | matplotlib:342 | CONFIGDIR=C:\Users\A1\.matplotlib
2026-03-06 10:56:57 | DEBUG    | matplotlib:1560 | interactive is False
2026-03-06 10:56:57 | DEBUG    | matplotlib:1561 | platform is win32
2026-03-06 10:57:13 | DEBUG    | matplotlib:342 | matplotlib data path: C:\Users\A1\AppData\Roaming\Python\Python313\site-packages\matplotlib\mpl-data
2026-03-06 10:57:13 | DEBUG    | matplotlib:342 | CONFIGDIR=C:\Users\A1\.matplotlib
2026-03-06 10:57:13 | DEBUG    | matplotlib:1560 | interactive is False
2026-03-06 10:57:13 | DEBUG    | matplotlib:1561 | platform is win32
2026-03-06 10:57:23 | DEBUG    | matplotlib:342 | matplotlib data path: C:\Users\A1\AppData\Roaming\Python\Python313\site-packages\matplotlib\mpl-data
2026-03-06 10:57:23 | DEBUG    | matplotlib:342 | CONFIGDIR=C:\Users\A1\.matplotlib
2026-03-06 10:57:23 | DEBUG    | matplotlib:1560 | interactive is False
2026-03-06 10:57:23 | DEBUG    | matplotlib:1561 | platform is win32
2026-03-06 10:58:57 | DEBUG    | urllib3.connectionpool:1022 | Starting new HTTPS connection (1): fapi.binance.com:443
2026-03-06 10:58:58 | DEBUG    | urllib3.connectionpool:475 | https://fapi.binance.com:443 "GET /fapi/v1/klines?symbol=ETHUSDT&interval=2h&limit=1000&startTime=1640995200000 HTTP/1.1" 200 None
2026-03-06 10:58:58 | DEBUG    | urllib3.connectionpool:1022 | Starting new HTTPS connection (1): fapi.binance.com:443
2026-03-06 10:58:59 | DEBUG    | urllib3.connectionpool:475 | https://fapi.binance.com:443 "GET /fapi/v1/klines?symbol=ETHUSDT&interval=2h&limit=1000&startTime=1648195200000 HTTP/1.1" 200 None
2026-03-06 10:59:00 | DEBUG    | urllib3.connectionpool:1022 | Starting new HTTPS connection (1): fapi.binance.com:443
2026-03-06 10:59:01 | DEBUG    | urllib3.connectionpool:475 | https://fapi.binance.com:443 "GET /fapi/v1/klines?symbol=ETHUSDT&interval=2h&limit=1000&startTime=1655395200000 HTTP/1.1" 200 None
2026-03-06 10:59:01 | DEBUG    | urllib3.connectionpool:1022 | Starting new HTTPS connection (1): fapi.binance.com:443
2026-03-06 10:59:02 | DEBUG    | urllib3.connectionpool:475 | https://fapi.binance.com:443 "GET /fapi/v1/klines?symbol=ETHUSDT&interval=2h&limit=1000&startTime=1662595200000 HTTP/1.1" 200 None
2026-03-06 10:59:02 | DEBUG    | urllib3.connectionpool:1022 | Starting new HTTPS connection (1): fapi.binance.com:443
2026-03-06 10:59:03 | DEBUG    | urllib3.connectionpool:475 | https://fapi.binance.com:443 "GET /fapi/v1/klines?symbol=ETHUSDT&interval=2h&limit=1000&startTime=1669795200000 HTTP/1.1" 200 None
2026-03-06 10:59:04 | DEBUG    | urllib3.connectionpool:1022 | Starting new HTTPS connection (1): fapi.binance.com:443
2026-03-06 10:59:04 | DEBUG    | urllib3.connectionpool:475 | https://fapi.binance.com:443 "GET /fapi/v1/klines?symbol=ETHUSDT&interval=2h&limit=1000&startTime=1676995200000 HTTP/1.1" 200 None
2026-03-06 10:59:05 | DEBUG    | urllib3.connectionpool:1022 | Starting new HTTPS connection (1): fapi.binance.com:443
2026-03-06 10:59:06 | DEBUG    | urllib3.connectionpool:475 | https://fapi.binance.com:443 "GET /fapi/v1/klines?symbol=ETHUSDT&interval=2h&limit=1000&startTime=1684195200000 HTTP/1.1" 200 None
2026-03-06 10:59:06 | DEBUG    | urllib3.connectionpool:1022 | Starting new HTTPS connection (1): fapi.binance.com:443
