2026-02-28 16:10:19 | ERROR    | backpack_quant_trading.core.binance_monitor:91 | 币安 K 线批量获取失败 ETHUSDT 15m: HTTPSConnectionPool(host='fapi.binance.com', port=443): Read timed out. (read timeout=20)
2026-03-03 14:55:30 | ERROR    | backpack_quant_trading.core.binance_monitor:399 | 获取币安交易对失败: ('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 10054, None))
2026-03-04 10:05:12 | ERROR    | backpack_quant_trading.core.binance_monitor:399 | 获取币安交易对失败: HTTPSConnectionPool(host='fapi.binance.com', port=443): Read timed out. (read timeout=15)
2026-03-04 10:05:29 | ERROR    | backpack_quant_trading.core.binance_monitor:399 | 获取币安交易对失败: HTTPSConnectionPool(host='fapi.binance.com', port=443): Read timed out. (read timeout=15)
2026-03-04 13:36:44 | ERROR    | backpack_quant_trading.core.binance_monitor:436 | 获取币安交易对失败: HTTPSConnectionPool(host='fapi.binance.com', port=443): Read timed out. (read timeout=15)
2026-03-04 15:32:37 | ERROR    | backpack_quant_trading.core.binance_monitor:93 | 币安 K 线批量获取失败 DOGEUSDT 1m: HTTPSConnectionPool(host='fapi.binance.com', port=443): Read timed out. (read timeout=20)
2026-03-06 15:25:27 | ERROR    | backpack_quant_trading.core.binance_monitor:163 | 币安 K 线批量获取失败 ETHUSDT 5m: HTTPSConnectionPool(host='fapi.binance.com', port=443): Max retries exceeded with url: /fapi/v1/klines?symbol=ETHUSDT&interval=5m&limit=800 (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x0000024422D05FD0>, 'Connection to fapi.binance.com timed out. (connect timeout=20)'))
2026-03-06 15:26:07 | ERROR    | backpack_quant_trading.core.binance_monitor:163 | 币安 K 线批量获取失败 ETHUSDT 15m: HTTPSConnectionPool(host='fapi.binance.com', port=443): Max retries exceeded with url: /fapi/v1/klines?symbol=ETHUSDT&interval=15m&limit=800 (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x0000024422E1DE50>, 'Connection to fapi.binance.com timed out. (connect timeout=20)'))
2026-03-06 15:27:39 | ERROR    | backpack_quant_trading.core.binance_monitor:163 | 币安 K 线批量获取失败 ETHUSDT 15m: HTTPSConnectionPool(host='fapi.binance.com', port=443): Max retries exceeded with url: /fapi/v1/klines?symbol=ETHUSDT&interval=15m&limit=1000 (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x0000024422D7EFD0>, 'Connection to fapi.binance.com timed out. (connect timeout=20)'))
2026-03-09 14:07:30 | ERROR    | backpack_quant_trading.core.binance_monitor:506 | 获取币安交易对失败: HTTPSConnectionPool(host='fapi.binance.com', port=443): Max retries exceeded with url: /fapi/v1/exchangeInfo (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x000001877AAA7890>, 'Connection to fapi.binance.com timed out. (connect timeout=15)'))
2026-03-16 12:11:21 | ERROR    | backpack_quant_trading.core.binance_monitor:506 | 获取币安交易对失败: HTTPSConnectionPool(host='fapi.binance.com', port=443): Max retries exceeded with url: /fapi/v1/exchangeInfo (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x0000019B8E918830>, 'Connection to fapi.binance.com timed out. (connect timeout=15)'))
