2026-04-02 15:12:16 | DEBUG    | websockets.client:1270 | % sending keepalive ping
2026-04-02 15:12:16 | DEBUG    | websockets.client:1183 | > PING 58 94 59 5e [binary, 4 bytes]
2026-04-02 15:12:16 | DEBUG    | websockets.client:1177 | < PONG 58 94 59 5e [binary, 4 bytes]
2026-04-02 15:12:16 | DEBUG    | websockets.client:1280 | % received keepalive pong
2026-04-02 15:12:18 | DEBUG    | websockets.client:1177 | < TEXT '{"channel":"candle","data":{"t":1775113200000,"...v":"875.7228","n":988}}' [160 bytes]
2026-04-02 15:12:19 | DEBUG    | websockets.client:1177 | < TEXT '{"channel":"candle","data":{"t":1775113200000,"...v":"875.7302","n":989}}' [160 bytes]
2026-04-02 15:12:20 | DEBUG    | websockets.client:1177 | < TEXT '{"channel":"candle","data":{"t":1775113200000,"...v":"885.5572","n":993}}' [160 bytes]
2026-04-02 15:12:20 | DEBUG    | websockets.client:1177 | < TEXT '{"channel":"candle","data":{"t":1775113200000,"...v":"896.8439","n":999}}' [160 bytes]
2026-04-02 15:12:20 | DEBUG    | websockets.client:1177 | < TEXT '{"channel":"candle","data":{"t":1775113200000,"...":"896.9417","n":1002}}' [161 bytes]
2026-04-02 15:12:21 | DEBUG    | websockets.client:1177 | < TEXT '{"channel":"candle","data":{"t":1775113200000,"...":"896.9474","n":1003}}' [161 bytes]
2026-04-02 15:12:22 | DEBUG    | websockets.client:1177 | < TEXT '{"channel":"candle","data":{"t":1775113200000,"...":"896.9964","n":1004}}' [161 bytes]
2026-04-02 15:12:23 | DEBUG    | websockets.client:1177 | < TEXT '{"channel":"candle","data":{"t":1775113200000,"...":"897.6424","n":1006}}' [161 bytes]
2026-04-02 15:12:24 | DEBUG    | websockets.client:1177 | < TEXT '{"channel":"candle","data":{"t":1775113200000,"...":"897.7227","n":1007}}' [161 bytes]
2026-04-02 15:12:25 | DEBUG    | websockets.client:1177 | < TEXT '{"channel":"candle","data":{"t":1775113200000,"...":"898.2022","n":1008}}' [161 bytes]
2026-04-02 15:12:26 | DEBUG    | websockets.client:1177 | < TEXT '{"channel":"candle","data":{"t":1775113200000,"...":"900.1508","n":1009}}' [161 bytes]
2026-04-02 15:12:28 | DEBUG    | websockets.client:1177 | < TEXT '{"channel":"candle","data":{"t":1775113200000,"...":"900.1569","n":1011}}' [161 bytes]
2026-04-02 15:12:30 | DEBUG    | websockets.client:1177 | < TEXT '{"channel":"candle","data":{"t":1775113200000,"...v":"900.209","n":1013}}' [160 bytes]
2026-04-02 15:12:35 | DEBUG    | websockets.client:1177 | < TEXT '{"channel":"candle","data":{"t":1775113200000,"...v":"900.224","n":1015}}' [160 bytes]
2026-04-02 15:12:35 | DEBUG    | websockets.client:1177 | < TEXT '{"channel":"candle","data":{"t":1775113200000,"...":"900.2314","n":1016}}' [161 bytes]
2026-04-02 15:12:36 | DEBUG    | websockets.client:1270 | % sending keepalive ping
2026-04-02 15:12:36 | DEBUG    | websockets.client:1183 | > PING 0e 38 25 dd [binary, 4 bytes]
2026-04-02 15:12:36 | DEBUG    | websockets.client:1177 | < PONG 0e 38 25 dd [binary, 4 bytes]
2026-04-02 15:12:36 | DEBUG    | websockets.client:1280 | % received keepalive pong
2026-04-02 15:12:36 | DEBUG    | websockets.client:1177 | < TEXT '{"channel":"candle","data":{"t":1775113200000,"...":"900.2367","n":1017}}' [161 bytes]
