2026-02-03 13:54:41 | INFO     | WebhookService | 正在启动 Webhook 服务于 0.0.0.0:8005
2026-02-03 13:54:41 | INFO     | WebhookService | 🚀 Webhook 服务已启动 (v1.1 - 修正 Hyperliquid 响应解析)
2026-02-03 13:54:41 | INFO     | WebhookService | ✅ 等待注册引擎实例...
2026-02-03 13:54:42 | INFO     | WebhookService | 🔧 创建新引擎实例: ostium_135431_840204
2026-02-03 13:54:42 | INFO     | backpack_quant_trading.core.ostium_client | 初始化Ostium SDK...
2026-02-03 13:54:42 | INFO     | backpack_quant_trading.core.ostium_client | 使用 Mainnet 配置
2026-02-03 13:54:43 | INFO     | backpack_quant_trading.core.ostium_client | Ostium SDK初始化成功
2026-02-03 13:54:44 | INFO     | backpack_quant_trading.core.ostium_client | 交易者地址: 0x316408b30fad991c30bFa656f5a5cf367DbE38c6
2026-02-03 13:54:44 | INFO     | backpack_quant_trading.engine.webhook_trading | Webhook 交易引擎初始化完成。止损: 1.5%, 止盈: 2.0%
2026-02-03 13:54:48 | INFO     | backpack_quant_trading.core.ostium_client | 🔍 查询开仓交易：trader=0x316408b30fad991c30bFa656f5a5cf367DbE38c6
2026-02-03 13:54:48 | INFO     | gql.transport.aiohttp | >>> {"query": "query IntrospectionQuery {\n  __schema {\n    queryType {\n      name\n    }\n    mutationType {\n      name\n    }\n    subscriptionType {\n      name\n    }\n    types {\n      ...FullType\n    }\n    directives {\n      name\n      description\n      locations\n      args {\n        ...InputValue\n      }\n    }\n  }\n}\n\nfragment FullType on __Type {\n  kind\n  name\n  description\n  fields(includeDeprecated: true) {\n    name\n    description\n    args {\n      ...InputValue\n    }\n    type {\n      ...TypeRef\n    }\n    isDeprecated\n    deprecationReason\n  }\n  inputFields {\n    ...InputValue\n  }\n  interfaces {\n    ...TypeRef\n  }\n  enumValues(includeDeprecated: true) {\n    name\n    description\n    isDeprecated\n    deprecationReason\n  }\n  possibleTypes {\n    ...TypeRef\n  }\n}\n\nfragment InputValue on __InputValue {\n  name\n  description\n  type {\n    ...TypeRef\n  }\n  defaultValue\n}\n\nfragment TypeRef on __Type {\n  kind\n  name\n  ofType {\n    kind\n    name\n    ofType {\n      kind\n      name\n      ofType {\n        kind\n        name\n        ofType {\n          kind\n          name\n          ofType {\n            kind\n            name\n            ofType {\n              kind\n              name\n              ofType {\n                kind\n                name\n                ofType {\n                  kind\n                  name\n                  ofType {\n                    kind\n                    name\n                  }\n                }\n              }\n            }\n          }\n        }\n      }\n    }\n  }\n}"}
