2026-06-24 15:18:34 | DEBUG    | urllib3.connectionpool:475 | https://feeds.finance.yahoo.com:443 "GET /rss/2.0/headline?s=MICRON&region=US&lang=en-US HTTP/1.1" 200 395
2026-06-24 15:18:34 | DEBUG    | urllib3.connectionpool:475 | https://feeds.finance.yahoo.com:443 "GET /rss/2.0/headline?s=MU&region=US&lang=en-US HTTP/1.1" 200 5396
2026-06-24 15:18:34 | DEBUG    | backpack_quant_trading.core.stock_news_feeds:786 | [雅虎财经] 直连 Search 获取 38 条
2026-06-24 15:18:34 | INFO     | stock_news_alert:514 | 轮询完成 @ 2026-06-24 15:17:45 | 拉取 227 条 (金十数据=19, 同花顺=20, 东方财富=80, 新浪财经=30, 富途牛牛=40, 雅虎财经=38) | 已推送过 0 | 非最新 0 | 未命中关键词 189 | 非重要快讯 38 | 内容相似去重 0 | 新命中 0 | 待推送 0 | 雅虎搜索词: NVIDIA, NVDA, MICRON, MU, SanDisk, SNDK, WDC, INTEL
2026-06-24 15:18:54 | DEBUG    | urllib3.connectionpool:1022 | Starting new HTTPS connection (1): api.polygon.io:443
2026-06-24 15:18:56 | WARNING  | backpack_quant_trading.core.massive_klines:208 | Massive K线失败 NVDA 2h: HTTPSConnectionPool(host='api.polygon.io', port=443): Max retries exceeded with url: /v2/aggs/ticker/NVDA/range/2/hour/2017-11-15/2026-06-24?adjusted=true&sort=desc&limit=50000&apiKey=1sSgkUzRRI78x21KfdCjgsY47vlJPOIg (Caused by ProxyError('Cannot connect to proxy.', NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x00000251B4859310>: Failed to establish a new connection: [WinError 10061] 由于目标计算机积极拒绝，无法连接。')))
2026-06-24 15:18:56 | DEBUG    | urllib3.connectionpool:1022 | Starting new HTTPS connection (1): api.polygon.io:443
2026-06-24 15:18:57 | DEBUG    | urllib3.connectionpool:1022 | Starting new HTTPS connection (1): query1.finance.yahoo.com:443
2026-06-24 15:18:58 | DEBUG    | urllib3.connectionpool:475 | https://query1.finance.yahoo.com:443 "GET /v8/finance/chart/USDCNY%3DX?range=5d&interval=1d HTTP/1.1" 403 3369
2026-06-24 15:18:58 | WARNING  | backpack_quant_trading.core.a_share_strategy_import:128 | USDCNY 汇率获取失败，使用默认 7.25: 403 Client Error: Forbidden for url: https://query1.finance.yahoo.com/v8/finance/chart/USDCNY%3DX?range=5d&interval=1d
2026-06-24 15:18:58 | DEBUG    | backpack_quant_trading.core.massive_klines:226 | Massive K线扩窗重试失败 NVDA 2h: HTTPSConnectionPool(host='api.polygon.io', port=443): Max retries exceeded with url: /v2/aggs/ticker/NVDA/range/2/hour/2009-04-08/2026-06-24?adjusted=true&sort=desc&limit=50000&apiKey=1sSgkUzRRI78x21KfdCjgsY47vlJPOIg (Caused by ProxyError('Cannot connect to proxy.', NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x00000251B4859450>: Failed to establish a new connection: [WinError 10061] 由于目标计算机积极拒绝，无法连接。')))
2026-06-24 15:18:58 | DEBUG    | urllib3.connectionpool:1022 | Starting new HTTPS connection (1): api.polygon.io:443
2026-06-24 15:18:58 | DEBUG    | urllib3.connectionpool:1022 | Starting new HTTPS connection (1): api.polygon.io:443
2026-06-24 15:19:00 | DEBUG    | urllib3.connectionpool:1022 | Starting new HTTPS connection (1): query1.finance.yahoo.com:443
2026-06-24 15:19:00 | WARNING  | backpack_quant_trading.core.massive_klines:208 | Massive K线失败 NVDA 2h: HTTPSConnectionPool(host='api.polygon.io', port=443): Max retries exceeded with url: /v2/aggs/ticker/NVDA/range/2/hour/2017-11-15/2026-06-24?adjusted=true&sort=desc&limit=50000&apiKey=1sSgkUzRRI78x21KfdCjgsY47vlJPOIg (Caused by ProxyError('Cannot connect to proxy.', NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x00000251B48591D0>: Failed to establish a new connection: [WinError 10061] 由于目标计算机积极拒绝，无法连接。')))
2026-06-24 15:19:00 | DEBUG    | urllib3.connectionpool:1022 | Starting new HTTPS connection (1): api.polygon.io:443
2026-06-24 15:19:01 | WARNING  | backpack_quant_trading.core.massive_klines:208 | Massive K线失败 INTC 1h: HTTPSConnectionPool(host='api.polygon.io', port=443): Max retries exceeded with url: /v2/aggs/ticker/INTC/range/1/hour/2022-02-24/2026-06-24?adjusted=true&sort=desc&limit=50000&apiKey=1sSgkUzRRI78x21KfdCjgsY47vlJPOIg (Caused by ProxyError('Cannot connect to proxy.', NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x00000251B4859450>: Failed to establish a new connection: [WinError 10061] 由于目标计算机积极拒绝，无法连接。')))
2026-06-24 15:19:01 | DEBUG    | urllib3.connectionpool:1022 | Starting new HTTPS connection (1): api.polygon.io:443
2026-06-24 15:19:01 | DEBUG    | urllib3.connectionpool:1022 | Starting new HTTPS connection (1): api.polygon.io:443
2026-06-24 15:19:01 | DEBUG    | urllib3.connectionpool:475 | https://query1.finance.yahoo.com:443 "GET /v8/finance/chart/USDCNY%3DX?range=5d&interval=1d HTTP/1.1" 403 3369
2026-06-24 15:19:02 | WARNING  | backpack_quant_trading.core.a_share_strategy_import:128 | USDCNY 汇率获取失败，使用默认 7.25: 403 Client Error: Forbidden for url: https://query1.finance.yahoo.com/v8/finance/chart/USDCNY%3DX?range=5d&interval=1d
2026-06-24 15:19:02 | DEBUG    | backpack_quant_trading.core.massive_klines:226 | Massive K线扩窗重试失败 NVDA 2h: HTTPSConnectionPool(host='api.polygon.io', port=443): Max retries exceeded with url: /v2/aggs/ticker/NVDA/range/2/hour/2009-04-08/2026-06-24?adjusted=true&sort=desc&limit=50000&apiKey=1sSgkUzRRI78x21KfdCjgsY47vlJPOIg (Caused by ProxyError('Cannot connect to proxy.', NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x00000251B4859310>: Failed to establish a new connection: [WinError 10061] 由于目标计算机积极拒绝，无法连接。')))
2026-06-24 15:19:02 | DEBUG    | urllib3.connectionpool:1022 | Starting new HTTPS connection (1): api.polygon.io:443
2026-06-24 15:19:03 | DEBUG    | backpack_quant_trading.core.massive_klines:226 | Massive K线扩窗重试失败 INTC 1h: HTTPSConnectionPool(host='api.polygon.io', port=443): Max retries exceeded with url: /v2/aggs/ticker/INTC/range/1/hour/2017-10-27/2026-06-24?adjusted=true&sort=desc&limit=50000&apiKey=1sSgkUzRRI78x21KfdCjgsY47vlJPOIg (Caused by ProxyError('Cannot connect to proxy.', NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x00000251B48591D0>: Failed to establish a new connection: [WinError 10061] 由于目标计算机积极拒绝，无法连接。')))
2026-06-24 15:19:04 | WARNING  | backpack_quant_trading.core.massive_klines:208 | Massive K线失败 NVDA 2h: HTTPSConnectionPool(host='api.polygon.io', port=443): Max retries exceeded with url: /v2/aggs/ticker/NVDA/range/2/hour/2017-11-15/2026-06-24?adjusted=true&sort=desc&limit=50000&apiKey=1sSgkUzRRI78x21KfdCjgsY47vlJPOIg (Caused by ProxyError('Cannot connect to proxy.', NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x00000251B4859450>: Failed to establish a new connection: [WinError 10061] 由于目标计算机积极拒绝，无法连接。')))
2026-06-24 15:19:04 | DEBUG    | urllib3.connectionpool:1022 | Starting new HTTPS connection (1): api.polygon.io:443
2026-06-24 15:19:04 | DEBUG    | urllib3.connectionpool:1022 | Starting new HTTPS connection (1): flash-api.jin10.com:443
2026-06-24 15:19:04 | DEBUG    | urllib3.connectionpool:475 | https://flash-api.jin10.com:443 "GET /get_flash_list?channel=-8200&vip=1 HTTP/1.1" 200 None
2026-06-24 15:19:04 | DEBUG    | urllib3.connectionpool:1022 | Starting new HTTPS connection (1): news.10jqka.com.cn:443
2026-06-24 15:19:05 | WARNING  | backpack_quant_trading.core.massive_klines:208 | Massive K线失败 INTC 1h: HTTPSConnectionPool(host='api.polygon.io', port=443): Max retries exceeded with url: /v2/aggs/ticker/INTC/range/1/hour/2022-02-24/2026-06-24?adjusted=true&sort=desc&limit=50000&apiKey=1sSgkUzRRI78x21KfdCjgsY47vlJPOIg (Caused by ProxyError('Cannot connect to proxy.', NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x00000251B4859A90>: Failed to establish a new connection: [WinError 10061] 由于目标计算机积极拒绝，无法连接。')))
2026-06-24 15:19:05 | DEBUG    | urllib3.connectionpool:1022 | Starting new HTTPS connection (1): api.polygon.io:443
2026-06-24 15:19:05 | DEBUG    | urllib3.connectionpool:475 | https://news.10jqka.com.cn:443 "GET /tapp/news/push/stock?page=1&tag=&track=website HTTP/1.1" 200 None
2026-06-24 15:19:05 | DEBUG    | urllib3.connectionpool:1022 | Starting new HTTPS connection (1): np-weblist.eastmoney.com:443
2026-06-24 15:19:06 | DEBUG    | backpack_quant_trading.core.massive_klines:226 | Massive K线扩窗重试失败 NVDA 2h: HTTPSConnectionPool(host='api.polygon.io', port=443): Max retries exceeded with url: /v2/aggs/ticker/NVDA/range/2/hour/2009-04-08/2026-06-24?adjusted=true&sort=desc&limit=50000&apiKey=1sSgkUzRRI78x21KfdCjgsY47vlJPOIg (Caused by ProxyError('Cannot connect to proxy.', NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x00000251B4858910>: Failed to establish a new connection: [WinError 10061] 由于目标计算机积极拒绝，无法连接。')))
2026-06-24 15:19:06 | DEBUG    | urllib3.connectionpool:1022 | Starting new HTTPS connection (1): api.polygon.io:443
2026-06-24 15:19:06 | DEBUG    | urllib3.connectionpool:475 | https://np-weblist.eastmoney.com:443 "GET /comm/web/getFastNewsList?client=web&biz=web_724&fastColumn=102&sortEnd=&pageSize=80&req_trace=1710315450384 HTTP/1.1" 200 None
2026-06-24 15:19:06 | DEBUG    | urllib3.connectionpool:1022 | Starting new HTTPS connection (1): zhibo.sina.com.cn:443
2026-06-24 15:19:06 | DEBUG    | urllib3.connectionpool:475 | https://zhibo.sina.com.cn:443 "GET /api/zhibo/feed?page=1&page_size=30&zhibo_id=152&tag_id=0&dire=f&dpc=1&pagesize=30&type=1 HTTP/1.1" 200 None
2026-06-24 15:19:06 | DEBUG    | urllib3.connectionpool:1022 | Starting new HTTPS connection (1): news.futunn.com:443
2026-06-24 15:19:07 | DEBUG    | backpack_quant_trading.core.massive_klines:226 | Massive K线扩窗重试失败 INTC 1h: HTTPSConnectionPool(host='api.polygon.io', port=443): Max retries exceeded with url: /v2/aggs/ticker/INTC/range/1/hour/2017-10-27/2026-06-24?adjusted=true&sort=desc&limit=50000&apiKey=1sSgkUzRRI78x21KfdCjgsY47vlJPOIg (Caused by ProxyError('Cannot connect to proxy.', NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x00000251B4859310>: Failed to establish a new connection: [WinError 10061] 由于目标计算机积极拒绝，无法连接。')))
2026-06-24 15:19:07 | DEBUG    | urllib3.connectionpool:475 | https://news.futunn.com:443 "GET /news-site-api/main/get-flash-list?pageSize=40 HTTP/1.1" 200 48119
2026-06-24 15:19:07 | DEBUG    | urllib3.connectionpool:1022 | Starting new HTTPS connection (1): finance.yahoo.com:443
2026-06-24 15:19:08 | WARNING  | backpack_quant_trading.core.massive_klines:208 | Massive K线失败 INTC 1h: HTTPSConnectionPool(host='api.polygon.io', port=443): Max retries exceeded with url: /v2/aggs/ticker/INTC/range/1/hour/2022-02-24/2026-06-24?adjusted=true&sort=desc&limit=50000&apiKey=1sSgkUzRRI78x21KfdCjgsY47vlJPOIg (Caused by ProxyError('Cannot connect to proxy.', NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x00000251B485AFD0>: Failed to establish a new connection: [WinError 10061] 由于目标计算机积极拒绝，无法连接。')))
2026-06-24 15:19:08 | DEBUG    | urllib3.connectionpool:1022 | Starting new HTTPS connection (1): api.polygon.io:443
2026-06-24 15:19:09 | DEBUG    | urllib3.connectionpool:475 | https://finance.yahoo.com:443 "GET / HTTP/1.1" 403 3369
2026-06-24 15:19:10 | DEBUG    | backpack_quant_trading.core.massive_klines:226 | Massive K线扩窗重试失败 INTC 1h: HTTPSConnectionPool(host='api.polygon.io', port=443): Max retries exceeded with url: /v2/aggs/ticker/INTC/range/1/hour/2017-10-27/2026-06-24?adjusted=true&sort=desc&limit=50000&apiKey=1sSgkUzRRI78x21KfdCjgsY47vlJPOIg (Caused by ProxyError('Cannot connect to proxy.', NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x00000251B4859310>: Failed to establish a new connection: [WinError 10061] 由于目标计算机积极拒绝，无法连接。')))
2026-06-24 15:19:10 | DEBUG    | urllib3.connectionpool:1022 | Starting new HTTPS connection (1): api.polygon.io:443
2026-06-24 15:19:11 | DEBUG    | urllib3.connectionpool:1022 | Starting new HTTPS connection (1): query1.finance.yahoo.com:443
2026-06-24 15:19:12 | WARNING  | backpack_quant_trading.core.massive_klines:208 | Massive K线失败 NVDA 2h: HTTPSConnectionPool(host='api.polygon.io', port=443): Max retries exceeded with url: /v2/aggs/ticker/NVDA/range/2/hour/2017-11-15/2026-06-24?adjusted=true&sort=desc&limit=50000&apiKey=1sSgkUzRRI78x21KfdCjgsY47vlJPOIg (Caused by ProxyError('Cannot connect to proxy.', NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x00000251B485B4D0>: Failed to establish a new connection: [WinError 10061] 由于目标计算机积极拒绝，无法连接。')))
2026-06-24 15:19:12 | DEBUG    | urllib3.connectionpool:1022 | Starting new HTTPS connection (1): api.polygon.io:443
2026-06-24 15:19:13 | DEBUG    | urllib3.connectionpool:475 | https://query1.finance.yahoo.com:443 "GET /v1/finance/search?q=NVIDIA&quotesCount=0&newsCount=50&enableFuzzyQuery=false HTTP/1.1" 403 3369
2026-06-24 15:19:13 | DEBUG    | urllib3.connectionpool:1022 | Starting new HTTPS connection (1): query2.finance.yahoo.com:443
2026-06-24 15:19:14 | DEBUG    | backpack_quant_trading.core.massive_klines:226 | Massive K线扩窗重试失败 NVDA 2h: HTTPSConnectionPool(host='api.polygon.io', port=443): Max retries exceeded with url: /v2/aggs/ticker/NVDA/range/2/hour/2009-04-08/2026-06-24?adjusted=true&sort=desc&limit=50000&apiKey=1sSgkUzRRI78x21KfdCjgsY47vlJPOIg (Caused by ProxyError('Cannot connect to proxy.', NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x00000251B485AFD0>: Failed to establish a new connection: [WinError 10061] 由于目标计算机积极拒绝，无法连接。')))
2026-06-24 15:19:14 | DEBUG    | urllib3.connectionpool:1022 | Starting new HTTPS connection (1): api.polygon.io:443
2026-06-24 15:19:14 | DEBUG    | urllib3.connectionpool:475 | https://query2.finance.yahoo.com:443 "GET /v1/finance/search?q=NVIDIA&quotesCount=0&newsCount=50&enableFuzzyQuery=false HTTP/1.1" 403 3369
2026-06-24 15:19:14 | DEBUG    | urllib3.connectionpool:291 | Resetting dropped connection: query1.finance.yahoo.com
2026-06-24 15:19:16 | DEBUG    | urllib3.connectionpool:475 | https://query1.finance.yahoo.com:443 "GET /v1/finance/search?q=NVDA&quotesCount=0&newsCount=50&enableFuzzyQuery=false HTTP/1.1" 403 3369
2026-06-24 15:19:16 | DEBUG    | urllib3.connectionpool:291 | Resetting dropped connection: query2.finance.yahoo.com
2026-06-24 15:19:16 | WARNING  | backpack_quant_trading.core.massive_klines:208 | Massive K线失败 INTC 1h: HTTPSConnectionPool(host='api.polygon.io', port=443): Max retries exceeded with url: /v2/aggs/ticker/INTC/range/1/hour/2022-02-24/2026-06-24?adjusted=true&sort=desc&limit=50000&apiKey=1sSgkUzRRI78x21KfdCjgsY47vlJPOIg (Caused by ProxyError('Cannot connect to proxy.', NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x00000251B4859A90>: Failed to establish a new connection: [WinError 10061] 由于目标计算机积极拒绝，无法连接。')))
2026-06-24 15:19:16 | DEBUG    | urllib3.connectionpool:1022 | Starting new HTTPS connection (1): api.polygon.io:443
2026-06-24 15:19:17 | DEBUG    | urllib3.connectionpool:475 | https://query2.finance.yahoo.com:443 "GET /v1/finance/search?q=NVDA&quotesCount=0&newsCount=50&enableFuzzyQuery=false HTTP/1.1" 403 3369
2026-06-24 15:19:17 | DEBUG    | urllib3.connectionpool:291 | Resetting dropped connection: query1.finance.yahoo.com
2026-06-24 15:19:18 | DEBUG    | backpack_quant_trading.core.massive_klines:226 | Massive K线扩窗重试失败 INTC 1h: HTTPSConnectionPool(host='api.polygon.io', port=443): Max retries exceeded with url: /v2/aggs/ticker/INTC/range/1/hour/2017-10-27/2026-06-24?adjusted=true&sort=desc&limit=50000&apiKey=1sSgkUzRRI78x21KfdCjgsY47vlJPOIg (Caused by ProxyError('Cannot connect to proxy.', NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x00000251B4859450>: Failed to establish a new connection: [WinError 10061] 由于目标计算机积极拒绝，无法连接。')))
2026-06-24 15:19:19 | DEBUG    | urllib3.connectionpool:475 | https://query1.finance.yahoo.com:443 "GET /v1/finance/search?q=MICRON&quotesCount=0&newsCount=50&enableFuzzyQuery=false HTTP/1.1" 403 3369
2026-06-24 15:19:20 | DEBUG    | urllib3.connectionpool:291 | Resetting dropped connection: query2.finance.yahoo.com
2026-06-24 15:19:23 | DEBUG    | urllib3.connectionpool:475 | https://query2.finance.yahoo.com:443 "GET /v1/finance/search?q=MICRON&quotesCount=0&newsCount=50&enableFuzzyQuery=false HTTP/1.1" 403 3369
2026-06-24 15:19:23 | DEBUG    | urllib3.connectionpool:291 | Resetting dropped connection: query1.finance.yahoo.com
