交易 #,类型,日期和时间,信号,价格 USD,仓位大小（数量）,仓位大小（价值）,净损益 USD,净损益 %,有利波动 USD,有利波动 %,不利波动 USD,不利波动 %,累计P&L USD,累计P&L %
1,多头出场,2024-01-09 17:00,long close,16580.93,244.5,3999440.535,54596.85,1.37,77200.88,1.93,-41252.04,-1.03,54596.85,2.73
1,多头进场,2024-01-05 03:00,long 1,16357.63,244.5,3999440.535,54596.85,1.37,77200.88,1.93,-41252.04,-1.03,54596.85,2.73
2,多头出场,2024-02-02 05:00,long close,17348.73,238,4108965.28,20032.46,0.49,30264.08,0.74,-32156.18,-0.78,74629.31,3.73
2,多头进场,2024-01-31 19:00,long 1,17264.56,238,4108965.28,20032.46,0.49,30264.08,0.74,-32156.18,-0.78,74629.31,3.73
3,多头出场,2024-02-02 05:00,long close,17348.73,236.4,4054132.344,47107.43,1.16,50974.93,1.26,-4730.36,-0.12,121736.73,6.09
3,多头进场,2024-02-01 05:00,long 2,17149.46,236.4,4054132.344,47107.43,1.16,50974.93,1.26,-4730.36,-0.12,121736.73,6.09
4,多头出场,2024-02-15 05:00,long close,17805.78,240.9,4242099.642,47312.76,1.12,51258.7,1.21,-31907.2,-0.75,169049.5,8.45
4,多头进场,2024-02-13 23:00,long 1,17609.38,240.9,4242099.642,47312.76,1.12,51258.7,1.21,-31907.2,-0.75,169049.5,8.45
5,多头出场,2024-02-15 05:00,long close,17805.78,240.7,4234305.341,51545.91,1.22,55488.57,1.31,-27608.29,-0.65,220595.4,11.03
5,多头进场,2024-02-14 03:00,long 2,17591.63,240.7,4234305.341,51545.91,1.22,55488.57,1.31,-27608.29,-0.65,220595.4,11.03
6,多头出场,2024-02-23 23:00,long close,17987.49,254.4,4440361.2,135656.25,3.06,163609.73,3.68,-33435.79,-0.75,356251.66,17.81
6,多头进场,2024-02-21 01:00,long 1,17454.25,254.4,4440361.2,135656.25,3.06,163609.73,3.68,-33435.79,-0.75,356251.66,17.81
7,多头出场,2024-03-07 03:00,long close,17998.25,263,4711108.48,22431.27,0.48,62854.37,1.33,-27806.99,-0.59,378682.94,18.93
7,多头进场,2024-03-06 01:00,long 1,17912.96,263,4711108.48,22431.27,0.48,62854.37,1.33,-27806.99,-0.59,378682.94,18.93
8,多头出场,2024-04-04 02:00,long close,18138.28,263.2,4755855.552,18139.74,0.38,52597.89,1.11,-13981.18,-0.29,396822.7,19.84
8,多头进场,2024-04-02 22:00,long 1,18069.36,263.2,4755855.552,18139.74,0.38,52597.89,1.11,-13981.18,-0.29,396822.7,19.84
9,多头出场,2024-04-06 00:00,long close,18182.74,267.8,4792286.356,77051.41,1.61,79525.89,1.66,-5500.61,-0.11,473874.1,23.69
9,多头进场,2024-04-05 04:00,long 2,17895.02,267.8,4792286.356,77051.41,1.61,79525.89,1.66,-5500.61,-0.11,473874.1,23.69
10,多头出场,2024-04-06 00:00,long close,18182.74,267.9,4794563.436,76592.61,1.60,79068.01,1.65,-5175.83,-0.11,550466.7,27.52
10,多头进场,2024-04-05 10:00,long 3,17896.84,267.9,4794563.436,76592.61,1.60,79068.01,1.65,-5175.83,-0.11,550466.7,27.52
