交易 #,类型,日期和时间,信号,价格 USD,仓位大小（数量）,仓位大小（价值）,净损益 USD,净损益 %,有利波动 USD,有利波动 %,不利波动 USD,不利波动 %,累计P&L USD,累计P&L %
1,多头出场,2024-02-08 13:00,卖,2032.3,1677.6,3399455.088,8910.07,0.26,30072.73,0.88,-6213.76,-0.18,8910.07,0.45
1,多头进场,2024-02-06 13:00,买 ,2026.38,1677.6,3399455.088,8910.07,0.26,30072.73,0.88,-6213.76,-0.18,8910.07,0.45
2,多头出场,2024-02-13 23:00,卖,1995.77,1691.2,3414566.624,-40338.87,-1.18,20018.98,0.59,-45227.51,-1.32,-31428.81,-1.57
2,多头进场,2024-02-13 11:00,买 ,2019.02,1691.2,3414566.624,-40338.87,-1.18,20018.98,0.59,-45227.51,-1.32,-31428.81,-1.57
3,多头出场,2024-02-20 03:00,卖,2017.71,1679.9,3345957.624,42583.08,1.27,51994.98,1.55,-3979.29,-0.12,11154.27,0.56
3,多头进场,2024-02-15 03:00,买 ,1991.76,1679.9,3345957.624,42583.08,1.27,51994.98,1.55,-3979.29,-0.12,11154.27,0.56
4,多头出场,2024-04-29 08:00,卖,2336.07,1471.3,3418256.577,17774.92,0.52,42655.2,1.25,-27113.84,-0.79,28929.19,1.45
4,多头进场,2024-04-24 00:00,买 ,2323.29,1471.3,3418256.577,17774.92,0.52,42655.2,1.25,-27113.84,-0.79,28929.19,1.45
5,多头出场,2024-05-02 22:00,卖,2291.77,1497.3,3448551.414,-18116.19,-0.53,37184.73,1.08,-26899.71,-0.78,10812.99,0.54
5,多头进场,2024-05-01 22:00,买 ,2303.18,1497.3,3448551.414,-18116.19,-0.53,37184.73,1.08,-26899.71,-0.78,10812.99,0.54
6,多头出场,2024-05-03 18:00,卖,2301.61,1483.6,3417798.992,-4155.27,-0.12,7053.69,0.21,-9265.91,-0.27,6657.73,0.33
6,多头进场,2024-05-03 06:00,买 ,2303.72,1483.6,3417798.992,-4155.27,-0.12,7053.69,0.21,-9265.91,-0.27,6657.73,0.33
7,多头出场,2024-05-06 08:00,卖,2294.07,1481.7,3410784.498,-12682.46,-0.37,1888.74,0.06,-13165.34,-0.39,-6024.74,-0.30
7,多头进场,2024-05-06 06:00,买 ,2301.94,1481.7,3410784.498,-12682.46,-0.37,1888.74,0.06,-13165.34,-0.39,-6024.74,-0.30
8,多头出场,2024-05-07 16:00,卖,2319.4,1468.1,3389064.807,15027.21,0.44,34080.08,1.01,-1712.2,-0.05,9002.47,0.45
8,多头进场,2024-05-06 10:00,买 ,2308.47,1468.1,3389064.807,15027.21,0.44,34080.08,1.01,-1712.2,-0.05,9002.47,0.45
9,多头出场,2024-05-09 16:00,卖,2309.43,1474,3414786.32,-11709.33,-0.34,121.6,0.00,-13866.66,-0.41,-2706.86,-0.14
9,多头进场,2024-05-09 14:00,买 ,2316.68,1474,3414786.32,-11709.33,-0.34,121.6,0.00,-13866.66,-0.41,-2706.86,-0.14
10,多头出场,2024-05-13 08:00,卖,2360.48,1465.8,3394807.458,64155.91,1.89,91073.96,2.68,-5918.02,-0.17,61449.04,3.07
10,多头进场,2024-05-09 20:00,买 ,2316.01,1465.8,3394807.458,64155.91,1.89,91073.96,2.68,-5918.02,-0.17,61449.04,3.07
11,多头出场,2024-05-29 18:00,卖,2345.84,1498.8,3503774.736,11117.3,0.32,39057.74,1.11,-9128.68,-0.26,72566.34,3.63
11,多头进场,2024-05-24 18:00,买 ,2337.72,1498.8,3503774.736,11117.3,0.32,39057.74,1.11,-9128.68,-0.26,72566.34,3.63
