交易编号,类型,日期和时间,信号,价格 CNY,大小（数量）,大小（价值）,净损益 CNY,净损益 %,有利波动 CNY,有利波动 %,不利波动 CNY,不利波动 %,累计损益 CNY,累计损益 %
1,多头出场,2017-03-27 13:30,离场信号,4.47,520833,1999998.72,326393.53,16.31,421074.72,21.05,-68508.29,-3.42,326393.53,16.32
1,多头进场,2017-01-26 13:30,进场,3.84,520833,1999998.72,326393.53,16.31,421074.72,21.05,-68508.29,-3.42,326393.53,16.32
2,多头出场,2017-05-25 13:30,离场信号,4.12,510204,1999999.68,100399.98,5.02,703281.5,35.15,-327330.56,-16.36,426793.53,21.34
2,多头进场,2017-04-06 13:30,进场,3.92,510204,1999999.68,100399.98,5.02,703281.5,35.15,-327330.56,-16.36,426793.53,21.34
3,多头出场,2017-06-21 13:30,离场信号,5.01,415800,1999998,81526.73,4.07,535582,26.77,-441548,-22.07,508320.25,25.42
3,多头进场,2017-05-31 09:30,进场,4.81,415800,1999998,81526.73,4.07,535582,26.77,-441548,-22.07,508320.25,25.42
4,多头出场,2017-12-04 13:30,离场信号,4.18,396825,1999998,-342733,-17.13,118247.5,5.91,-469053.5,-23.44,165587.27,8.28
4,多头进场,2017-06-27 13:30,进场,5.04,396825,1999998,-342733,-17.13,118247.5,5.91,-469053.5,-23.44,165587.27,8.28
5,多头出场,2018-01-15 13:30,离场信号,3.23,483091,1999996.74,-441036.97,-22.04,33016.37,1.65,-450074.62,-22.49,-275449.7,-13.77
5,多头进场,2017-12-08 09:30,进场,4.14,483091,1999996.74,-441036.97,-22.04,33016.37,1.65,-450074.62,-22.49,-275449.7,-13.77
6,多头出场,2018-02-02 13:30,离场信号,3.09,606060,1999998,-128821.69,-6.44,338593.6,16.92,-146254.4,-7.31,-404271.38,-20.21
6,多头进场,2018-01-19 11:30,进场,3.3,606060,1999998,-128821.69,-6.44,338593.6,16.92,-146254.4,-7.31,-404271.38,-20.21
7,多头出场,2018-03-20 13:30,离场信号,3.58,595238,1999999.68,129299.98,6.46,445628.5,22.27,-84133.32,-4.20,-274971.4,-13.75
7,多头进场,2018-02-06 13:30,进场,3.36,595238,1999999.68,129299.98,6.46,445628.5,22.27,-84133.32,-4.20,-274971.4,-13.75
8,多头出场,2018-04-04 13:30,离场信号,3.86,507614,1999999.16,-42192.87,-2.11,202245.6,10.11,-259683.14,-12.98,-317164.28,-15.86
8,多头进场,2018-03-21 09:30,进场,3.94,507614,1999999.16,-42192.87,-2.11,202245.6,10.11,-259683.14,-12.98,-317164.28,-15.86
9,多头出场,2018-05-31 13:30,离场信号,3.46,579710,1999999.5,4194.78,0.21,503547.7,25.17,-174713,-8.73,-312969.5,-15.65
9,多头进场,2018-04-24 11:30,进场,3.45,579710,1999999.5,4194.78,0.21,503547.7,25.17,-174713,-8.73,-312969.5,-15.65
10,多头出场,2018-06-13 13:30,离场信号,3.39,571428,1999998,-64431.94,-3.22,90628.48,4.53,-69371.36,-3.47,-377401.44,-18.87
