交易编号,类型,日期和时间,信号,价格 CNY,大小（数量）,大小（价值）,净损益 CNY,净损益 %,有利波动 CNY,有利波动 %,不利波动 CNY,不利波动 %,累计损益 CNY,累计损益 %
5,多头出场,2026-03-12 09:30,止损,546.23,3152,1756861.76,-36536.23,-2.08,15120.3,0.86,-35847.54,-2.04,-278823,-13.94
5,多头进场,2026-03-11 09:30,进场,557.38,3152,1756861.76,-36536.23,-2.08,15120.3,0.86,-35847.54,-2.04,-278823,-13.94
6,多头出场,2026-04-30 13:30,离场信号,857.5,3167,1720156.05,993772.1,57.75,1192067.5,69.27,-13292.72,-0.77,714949.1,35.75
6,多头进场,2026-03-13 11:30,进场,543.15,3167,1720156.05,993772.1,57.75,1192067.5,69.27,-13292.72,-0.77,714949.1,35.75
7,多头出场,2026-05-21 13:30,离场信号,993.34,3099,2713143.51,362900.56,13.37,691138.4,25.46,-18098.77,-0.67,1077849.6,53.89
7,多头进场,2026-05-08 09:30,进场,875.49,3099,2713143.51,362900.56,13.37,691138.4,25.46,-18098.77,-0.67,1077849.6,53.89
8,多头出场,2026-06-08 13:30,离场信号,1154.99,2814,3075702,171909.52,5.59,634508.6,20.62,-37727.86,-1.23,1249759.1,62.49
8,多头进场,2026-05-25 13:30,进场,1093,2814,3075702,171909.52,5.59,634508.6,20.62,-37727.86,-1.23,1249759.1,62.49
9,多头出场,2026-06-24 13:30,开盘价,1312.18,2673,3247320.78,257434.45,7.92,535760.25,16.49,-14129.33,-0.43,1505894.6,75.29
9,多头进场,2026-06-15 11:30,进场,1214.86,2673,3247320.78,257434.45,7.92,535760.25,16.49,-14129.33,-0.43,1505894.6,75.29
