交易编号,类型,日期和时间,信号,价格 USD,大小（数量）,大小（价值）,净损益 USD,净损益 %,有利波动 USD,有利波动 %,不利波动 USD,不利波动 %,累计损益 USD,累计损益 %
1,多头出场,2026-01-31 02:30,趋势走弱离场,427.49,2421,999800.37,34339.02,3.43,102565.21,10.25,-10907.06,-1.09,34339.02,3.43
1,多头进场,2026-01-28 04:30,趋势入场,412.97,2421,999800.37,34339.02,3.43,102565.21,10.25,-10907.06,-1.09,34339.02,3.43
2,多头出场,2026-02-18 02:30,趋势走弱离场,403.05,2540,999718.6,23219.01,2.32,114357.31,11.43,-2635.09,-0.26,57558.03,5.76
2,多头进场,2026-02-12 00:30,趋势入场,393.59,2540,999718.6,23219.01,2.32,114357.31,11.43,-2635.09,-0.26,57558.03,5.76
3,多头出场,2026-02-20 04:30,趋势走弱离场,413.51,2355,999697.5,-26670.85,-2.67,7489.37,0.75,-39846.13,-3.98,30887.18,3.09
3,多头进场,2026-02-19 00:30,趋势入场,424.5,2355,999697.5,-26670.85,-2.67,7489.37,0.75,-39846.13,-3.98,30887.18,3.09
4,多头出场,2026-02-24 04:30,趋势走弱离场,418.78,2370,999547.5,-7835.72,-0.78,23300.18,2.33,-15354.52,-1.54,23051.46,2.31
4,多头进场,2026-02-21 00:30,趋势入场,421.75,2370,999547.5,-7835.72,-0.78,23300.18,2.33,-15354.52,-1.54,23051.46,2.31
5,多头出场,2026-02-25 04:30,趋势走弱离场,419.59,2311,999345.73,-30460.85,-3.05,1009.97,0.10,-49369.83,-4.94,-7409.39,-0.74
5,多头进场,2026-02-25 00:30,趋势入场,432.43,2311,999345.73,-30460.85,-3.05,1009.97,0.10,-49369.83,-4.94,-7409.39,-0.74
6,多头出场,2026-04-29 01:30,趋势走弱离场,499.51,2062,999863.8,29313.88,2.93,95338.71,9.53,-27370.91,-2.74,21904.49,2.19
6,多头进场,2026-04-23 01:30,趋势入场,484.9,2062,999863.8,29313.88,2.93,95338.71,9.53,-27370.91,-2.74,21904.49,2.19
7,多头出场,2026-05-08 03:30,趋势走弱离场,639.38,1846,999221.34,180202.33,18.03,261344.66,26.14,-3704.03,-0.37,202106.81,20.21
7,多头进场,2026-05-02 03:30,趋势入场,541.29,1846,999221.34,180202.33,18.03,261344.66,26.14,-3704.03,-0.37,202106.81,20.21
8,多头出场,2026-05-13 01:30,趋势走弱离场,730.63,1390,999590.7,15178.93,1.52,137960.77,13.80,-17747.04,-1.77,217285.75,21.73
8,多头进场,2026-05-08 23:30,趋势入场,719.13,1390,999590.7,15178.93,1.52,137960.77,13.80,-17747.04,-1.77,217285.75,21.73
9,多头出场,2026-06-04 03:30,趋势走弱离场,1074.67,1339,999536.72,438471,43.85,457832.75,45.79,-7550.07,-0.76,655756.75,65.58
9,多头进场,2026-05-21 23:30,趋势入场,746.48,1339,999536.72,438471,43.85,457832.75,45.79,-7550.07,-0.76,655756.75,65.58
10,多头出场,2026-06-23 23:30,趋势走弱离场,1075.67,1020,999345,96999.79,9.70,237760.06,23.78,-20350.94,-2.04,752756.56,75.28
10,多头进场,2026-06-12 03:30,趋势入场,979.75,1020,999345,96999.79,9.70,237760.06,23.78,-20350.94,-2.04,752756.56,75.28
