Trade number,类型,日期和时间,信号,价格 USDT,大小（数量）,大小（价值）,Net PnL USDT,Net PnL %,有利波动 USDT,有利波动 %,不利波动 USDT,不利波动 %,Cumulative PnL USDT,Cumulative PnL %
1,多头出场,2026-05-04 20:00,趋势走弱离场,41.32,240.693,9995.98029,-58.52,-0.59,251.14,2.51,-117.12,-1.17,-58.52,-0.59
1,多头进场,2026-05-04 10:00,趋势入场,41.53,240.693,9995.98029,-58.52,-0.59,251.14,2.51,-117.12,-1.17,-58.52,-0.59
2,多头出场,2026-05-05 06:00,Margin call,42.32,0.216,9.14112,-0.01,-0.08,0,0.00,-0.004,-0.04,-62.5,-0.63
2,多头进场,2026-05-05 06:00,趋势入场,42.32,0.216,9.14112,-0.01,-0.08,0,0.00,-0.004,-0.04,-62.5,-0.63
3,多头出场,2026-05-06 22:00,趋势走弱离场,43.86,234.657,9930.68424,353.28,3.56,573.28,5.77,-137.73,-1.39,294.75,2.95
3,多头进场,2026-05-05 06:00,趋势入场,42.32,234.657,9930.68424,353.28,3.56,573.28,5.77,-137.73,-1.39,294.75,2.95
4,多头出场,2026-05-09 00:00,Margin call,43.1,0.22,9.482,-0.01,-0.08,0,0.00,-0.004,-0.04,290.63,2.91
4,多头进场,2026-05-09 00:00,趋势入场,43.1,0.22,9.482,-0.01,-0.08,0,0.00,-0.004,-0.04,290.63,2.91
5,多头出场,2026-05-10 00:00,趋势走弱离场,43.1,238.597,10283.5307,-8.23,-0.08,291.75,2.84,-104.32,-1.01,286.52,2.87
5,多头进场,2026-05-09 00:00,趋势入场,43.1,238.597,10283.5307,-8.23,-0.08,291.75,2.84,-104.32,-1.01,286.52,2.87
6,多头出场,2026-05-11 02:00,Margin call,43.65,0.212,9.2538,-0.01,-0.08,0,0.00,-0.004,-0.04,282.4,2.82
6,多头进场,2026-05-11 02:00,趋势入场,43.65,0.212,9.2538,-0.01,-0.08,0,0.00,-0.004,-0.04,282.4,2.82
7,多头出场,2026-05-11 06:00,趋势走弱离场,42.17,235.406,10275.4719,-356.48,-3.47,2.95,0.03,-368.99,-3.59,-69.97,-0.70
7,多头进场,2026-05-11 02:00,趋势入场,43.65,235.406,10275.4719,-356.48,-3.47,2.95,0.03,-368.99,-3.59,-69.97,-0.70
8,多头出场,2026-05-19 00:00,趋势走弱离场,44.73,232.025,9926.0295,444.33,4.47,1044.78,10.52,-68.94,-0.69,374.36,3.74
8,多头进场,2026-05-17 16:00,趋势入场,42.78,232.025,9926.0295,444.33,4.47,1044.78,10.52,-68.94,-0.69,374.36,3.74
9,多头出场,2026-05-20 06:00,趋势走弱离场,47.96,223.495,10370.168,340.22,3.28,556.82,5.37,-162.83,-1.57,714.57,7.15
9,多头进场,2026-05-19 04:00,趋势入场,46.4,223.495,10370.168,340.22,3.28,556.82,5.37,-162.83,-1.57,714.57,7.15
10,多头出场,2026-05-20 22:00,Margin call,51.23,0.16,8.1968,-0.01,-0.08,0,0.00,-0.003,-0.04,710.28,7.10
10,多头进场,2026-05-20 22:00,趋势入场,51.23,0.16,8.1968,-0.01,-0.08,0,0.00,-0.003,-0.04,710.28,7.10
11,多头出场,2026-05-22 08:00,趋势走弱离场,58.6,208.943,10704.14989,1530.73,14.29,2386.03,22.28,-133.83,-1.25,2245.3,22.45
11,多头进场,2026-05-20 22:00,趋势入场,51.23,208.943,10704.14989,1530.73,14.29,2386.03,22.28,-133.83,-1.25,2245.3,22.45
12,多头出场,2026-05-25 06:00,趋势走弱离场,61.64,210.46,12238.249,724.42,5.92,1384.14,11.31,-181.68,-1.48,2969.72,29.70
12,多头进场,2026-05-24 06:00,趋势入场,58.15,210.46,12238.249,724.42,5.92,1384.14,11.31,-181.68,-1.48,2969.72,29.70
13,多头出场,2026-05-27 22:00,趋势走弱离场,60.84,208.5,12962.445,-287.56,-2.22,240.85,1.86,-397.16,-3.06,2682.15,26.82
13,多头进场,2026-05-27 16:00,趋势入场,62.17,208.5,12962.445,-287.56,-2.22,240.85,1.86,-397.16,-3.06,2682.15,26.82
14,多头出场,2026-05-29 08:00,开盘价,61.91,207.991,12677.05145,189.45,1.49,327.71,2.58,-186.02,-1.47,2866.53,28.67
14,多头进场,2026-05-29 04:00,趋势入场,60.95,207.991,12677.05145,189.45,1.49,327.71,2.58,-186.02,-1.47,2866.53,28.67
