交易 #,类型,日期和时间,信号,价格 USDT,仓位大小（数量）,仓位大小（价值）,净损益 USDT,净损益 %,有利波动 USDT,有利波动 %,不利波动 USDT,不利波动 %,累计P&L USDT,累计P&L %
1,空头出场,2025-01-14 04:00,止损/保本,3138.81,3.2815,9999.97747,-300.03,-3.00,204.7,2.05,-300.03,-3.00,-300.03,-3.00
1,空头进场,2025-01-14 00:00,做空入场,3047.38,3.2815,9999.97747,-300.03,-3.00,204.7,2.05,-300.03,-3.00,-300.03,-3.00
2,空头出场,2025-01-17 16:00,止损/保本,3431.95,3.0012,9999.968388,-300,-3.00,197.15,1.97,-300,-3.00,-600.03,-6.00
2,空头进场,2025-01-17 00:00,做空入场,3331.99,3.0012,9999.968388,-300,-3.00,197.15,1.97,-300,-3.00,-600.03,-6.00
3,空头出场,2025-01-19 20:00,止损/保本,3286.42,3.0428,9999.918776,0,0.00,477.08,4.77,-277.75,-2.78,-600.03,-6.00
3,空头进场,2025-01-18 16:00,做空入场,3286.42,3.0428,9999.918776,0,0.00,477.08,4.77,-277.75,-2.78,-600.03,-6.00
4,空头出场,2025-01-20 12:00,止损/保本,3310.59,3.1112,9999.894592,-300.01,-3.00,226.84,2.27,-300.01,-3.00,-900.04,-9.00
4,空头进场,2025-01-20 08:00,做空入场,3214.16,3.1112,9999.894592,-300.01,-3.00,226.84,2.27,-300.01,-3.00,-900.04,-9.00
5,空头出场,2025-01-22 00:00,信号离场,3294.15,3.0458,10000.00102,-33.32,-0.33,242.78,2.43,-157.68,-1.58,-933.36,-9.33
5,空头进场,2025-01-21 08:00,做空入场,3283.21,3.0458,10000.00102,-33.32,-0.33,242.78,2.43,-157.68,-1.58,-933.36,-9.33
6,空头出场,2025-01-24 04:00,信号离场,3203.48,3.0423,9999.766293,253.82,2.54,334.38,3.34,-136.33,-1.36,-679.54,-6.80
6,空头进场,2025-01-22 16:00,做空入场,3286.91,3.0423,9999.766293,253.82,2.54,334.38,3.34,-136.33,-1.36,-679.54,-6.80
7,空头出场,2025-01-26 16:00,信号离场,3337.52,3.0397,9999.974663,-145.08,-1.45,60.16,0.60,-222.54,-2.23,-824.63,-8.25
7,空头进场,2025-01-25 16:00,做空入场,3289.79,3.0397,9999.974663,-145.08,-1.45,60.16,0.60,-222.54,-2.23,-824.63,-8.25
8,空头出场,2025-01-27 12:00,止盈,3114.79,3.0178,9999.812258,600,6.00,600,6.00,-92.5,-0.92,-224.63,-2.25
8,空头进场,2025-01-27 00:00,做空入场,3313.61,3.0178,9999.812258,600,6.00,600,6.00,-92.5,-0.92,-224.63,-2.25
9,空头出场,2025-01-31 16:00,止损/保本,3326.43,3.0964,9999.947656,-300.01,-3.00,53.35,0.53,-300.01,-3.00,-524.64,-5.25
9,空头进场,2025-01-31 12:00,做空入场,3229.54,3.0964,9999.947656,-300.01,-3.00,53.35,0.53,-300.01,-3.00,-524.64,-5.25
10,空头出场,2025-02-03 00:00,止盈,3003.46,3.1297,9999.954846,600.03,6.00,600.03,6.00,-2.75,-0.03,75.39,0.75
10,空头进场,2025-02-02 04:00,做空入场,3195.18,3.1297,9999.954846,600.03,6.00,600.03,6.00,-2.75,-0.03,75.39,0.75
11,空头出场,2025-02-10 16:00,信号离场,2636,3.8046,9999.744318,-29.18,-0.29,419.3,4.19,-265.07,-2.65,46.21,0.46
11,空头进场,2025-02-08 16:00,做空入场,2628.33,3.8046,9999.744318,-29.18,-0.29,419.3,4.19,-265.07,-2.65,46.21,0.46
12,空头出场,2025-02-13 04:00,信号离场,2677.17,3.8207,9999.765282,-228.9,-2.29,286.74,2.87,-250.68,-2.51,-182.69,-1.83
12,空头进场,2025-02-12 16:00,做空入场,2617.26,3.8207,9999.765282,-228.9,-2.29,286.74,2.87,-250.68,-2.51,-182.69,-1.83
13,空头出场,2025-02-17 20:00,信号离场,2753.94,3.7086,9999.720696,-213.54,-2.14,235.68,2.36,-287.68,-2.88,-396.23,-3.96
13,空头进场,2025-02-15 16:00,做空入场,2696.36,3.7086,9999.720696,-213.54,-2.14,235.68,2.36,-287.68,-2.88,-396.23,-3.96
14,空头出场,2025-02-20 12:00,止损/保本,2751.13,3.7439,9999.9569,-300,-3.00,250.17,2.50,-300,-3.00,-696.23,-6.96
14,空头进场,2025-02-18 16:00,做空入场,2671,3.7439,9999.9569,-300,-3.00,250.17,2.50,-300,-3.00,-696.23,-6.96
15,空头出场,2025-02-22 16:00,止损/保本,2717.64,3.79,9999.8392,-300.02,-3.00,89.9,0.90,-300.02,-3.00,-996.25,-9.96
15,空头进场,2025-02-22 04:00,做空入场,2638.48,3.79,9999.8392,-300.02,-3.00,89.9,0.90,-300.02,-3.00,-996.25,-9.96
16,空头出场,2025-02-25 04:00,止盈,2527.36,3.7192,9999.775848,600.02,6.00,600.02,6.00,-26.26,-0.26,-396.23,-3.96
16,空头进场,2025-02-24 20:00,做空入场,2688.69,3.7192,9999.775848,600.02,6.00,600.02,6.00,-26.26,-0.26,-396.23,-3.96
17,空头出场,2025-03-03 20:00,止盈,2293.77,4.098,9999.89862,600.03,6.00,600.03,6.00,-69.22,-0.69,203.8,2.04
17,空头进场,2025-03-03 12:00,做空入场,2440.19,4.098,9999.89862,600.03,6.00,600.03,6.00,-69.22,-0.69,203.8,2.04
18,空头出场,2025-03-04 20:00,止损/保本,2135.76,4.8226,9999.90223,-300.01,-3.00,30.24,0.30,-300.01,-3.00,-96.21,-0.96
18,空头进场,2025-03-04 12:00,做空入场,2073.55,4.8226,9999.90223,-300.01,-3.00,30.24,0.30,-300.01,-3.00,-96.21,-0.96
19,空头出场,2025-03-09 00:00,信号离场,2180.41,4.6713,9999.945336,-185.4,-1.85,175.87,1.76,-267.57,-2.68,-281.62,-2.82
19,空头进场,2025-03-08 08:00,做空入场,2140.72,4.6713,9999.945336,-185.4,-1.85,175.87,1.76,-267.57,-2.68,-281.62,-2.82
20,空头出场,2025-03-10 16:00,止损/保本,2100.53,4.9035,9999.90369,-300.05,-3.00,257.63,2.58,-300.05,-3.00,-581.66,-5.82
20,空头进场,2025-03-10 04:00,做空入场,2039.34,4.9035,9999.90369,-300.05,-3.00,257.63,2.58,-300.05,-3.00,-581.66,-5.82
21,空头出场,2025-03-19 16:00,止损/保本,1960.64,5.2533,9999.814149,-300.02,-3.00,30.47,0.30,-300.02,-3.00,-881.68,-8.82
21,空头进场,2025-03-19 04:00,做空入场,1903.53,5.2533,9999.814149,-300.02,-3.00,30.47,0.30,-300.02,-3.00,-881.68,-8.82
22,空头出场,2025-03-22 16:00,信号离场,1983.15,5.0575,9999.99245,-29.79,-0.30,228.9,2.29,-76.06,-0.76,-911.47,-9.11
22,空头进场,2025-03-21 12:00,做空入场,1977.26,5.0575,9999.99245,-29.79,-0.30,228.9,2.29,-76.06,-0.76,-911.47,-9.11
23,空头出场,2025-03-28 12:00,止盈,1925.18,4.8826,9999.906582,600.02,6.00,600.02,6.00,-130.76,-1.31,-311.45,-3.11
23,空头进场,2025-03-26 12:00,做空入场,2048.07,4.8826,9999.906582,600.02,6.00,600.02,6.00,-130.76,-1.31,-311.45,-3.11
24,空头出场,2025-03-29 16:00,信号离场,1879.37,5.2382,9999.933328,155.42,1.55,287.26,2.87,-78.36,-0.78,-156.03,-1.56
24,空头进场,2025-03-28 16:00,做空入场,1909.04,5.2382,9999.933328,155.42,1.55,287.26,2.87,-78.36,-0.78,-156.03,-1.56
25,空头出场,2025-04-06 12:00,信号离场,1809.1,5.5729,9999.956031,-81.98,-0.82,261.48,2.61,-224.64,-2.25,-238.01,-2.38
25,空头进场,2025-04-03 20:00,做空入场,1794.39,5.5729,9999.956031,-81.98,-0.82,261.48,2.61,-224.64,-2.25,-238.01,-2.38
26,空头出场,2025-04-07 08:00,止盈,1527.69,6.153,9999.91713,600.04,6.00,600.04,6.00,-32.24,-0.32,362.04,3.62
26,空头进场,2025-04-07 04:00,做空入场,1625.21,6.153,9999.91713,600.04,6.00,600.04,6.00,-32.24,-0.32,362.04,3.62
